Retrieving speedtest.net configuration...
 5750) Lhasaunicom (Lhasa, China) [2016.85 km]
18444) China Mobile Group Tibet (Lhasa, China) [2016.85 km]
13692) JVG Communication (Raigarh, India) [2020.46 km]
 7954) Applefibernet (Rajahmundry, India) [2034.50 km]
18678) Acme Diginet Corporation Pvt Ltd (Darbhanga, India) [2050.70 km]
 9637) PARIM INFOCOMM PVT. LTD. (Jagdalpur, India) [2054.91 km]
 9543) TrackNet Services Pvt. Ltd (Jagdalpur, India) [2054.91 km]
 6132) ChinaTelecom.Hunan (Changsha, China) [2066.53 km]
 4870) Changsha, Hunan Unicom (Changsha, China) [2066.53 km]
15862) China Mobile Group Hunan Co.,Ltd (Changsha, China) [2066.53 km]
 8231) UshaNet Broadband (Patna, India) [2076.45 km]
12309) Max-tech media & communications pvt ltd (Patna, India) [2076.45 km]
16726) Instanet (Patna, IN) [2076.45 km]
12079) IsolNet Network Solution Pvt Ltd (Ambikapur, India) [2099.38 km]
15110) INSTALINKS (Janjgir, India) [2103.25 km]
11766) Celcom Axiata (Sandakan, Malaysia) [2122.20 km]
 7149) MyCATV Broadband (Olongapo, Philippines) [2139.71 km]
11973) syslink (Tenali, India) [2145.26 km]
 9306) Foxtel (Raipur, India) [2146.04 km]
 9262) Pintwire Infomatics Pvt Ltd (Raipur, India) [2146.04 km]
11659) Sun Broadband & Data Services Pvt. Ltd. (Raipur, India) [2146.04 km]
 9433) Elxer Communications Private Limited (Raipur, India) [2146.04 km]
 8481) MYGURUONLINE INDIA PVT LTD (Vijawada, India) [2148.11 km]
11886) USATV One Inc (Dagupan City, Philippines) [2150.99 km]
 7896) ACT Fibernet (Vijayawada, India) [2151.06 km]
 4724) Excell Media (Vijayawada, India) [2151.06 km]
 5432) Signum Digital Network Pvt Ltd (Vijayawada, India) [2151.06 km]
13881) Pioneer Elabs Limited (Vijayawada, India) [2151.06 km]
15673) City Online Services Limited (Vijayawada, India) [2151.06 km]
 9358) INSTALINKS (Raipur, India) [2163.28 km]
 3756) Globe Telecom (Tarlac, Philippines) [2165.13 km]
10399) TransMedia Technologies (Guntur, India) [2167.03 km]
11577) Converge ICT Solutions Inc. (Angeles City, Philippines) [2173.15 km]
11691) Mountainview Satellite Corp (Baguio City, Philippines) [2182.80 km]
 1826) Vodafone India (Chennai, India) [2183.94 km]
 8797) Cherrinet - K Net Solutions Pvt Ltd (Chennai, India) [2183.94 km]
12182) TICFIBER - Thamizhaga Internet (Chennai, India) [2183.94 km]
10077) INFONET COMM ENTERPRISES PVT LTD, (Chennai, India) [2183.94 km]
 9591) Railtel Corporation of india Ltd (Chennai, India) [2183.94 km]
12285) ACT Fibernet (Chennai, India) [2183.94 km]
 8610) Niss Broadband (Chennai, India) [2183.94 km]
 6455) YOU Broadband India Pvt Ltd. (Chennai, India) [2183.94 km]
 2583) Bharti Airtel Ltd (Chennai, India) [2183.94 km]
15535) Blue Lotus Support Services Pvt Ltd (Chennai, India) [2183.94 km]
11117) Arjuntelecom (Chennai, India) [2183.94 km]
18974) Airtel Broadband (Chennai, India) [2183.94 km]
10560) Speedtest.net (Chennai, India) [2183.94 km]
 5376) Atria Convergence Technologies Pvt. Ltd (Chennai, India) [2183.94 km]
11562) Spectra (Chennai, India) [2183.94 km]
 2649) Aircel (Chennai, India) [2183.94 km]
17078) Click2Connect-Krishiinet (Chennai, IN) [2183.94 km]
17054) Pulse Telesystems (Chennai, India) [2183.94 km]
10481) Hathway Cable & datacom LTD (Chennai, India) [2183.94 km]
 9340) INSTALINKS (Bhilai, India) [2188.38 km]
 9420) Navyug Networks Info Private Limited (Bhilai, India) [2188.38 km]
14495) Ultranet Communication (Banepa, Nepal) [2188.82 km]
 4655) HYPERNET (Bandarlampung, Indonesia) [2195.48 km]
 5994) VERD NETWORK (Bandarlampung, Indonesia) [2195.48 km]
10743) Southern Online Bio Technologies Ltd (Ongole, India) [2203.96 km]
10984) ACT Fibernet (Nellore, India) [2208.58 km]
15408) Ruby Broadband (Narsaraopet, India) [2209.21 km]
 3947) Globe Telecom (Imus, Philippines) [2209.41 km]
 5595) Skybroadband (Imus, Philippines) [2209.41 km]
10536) Nepal Telecom (Kathmandu, Nepal) [2209.99 km]
 3467) Worldlink Communications Pvt. Ltd. (Jawalakhel, Nepal) [2209.99 km]
 8396) Websurfer Nepal Communication System Pvt. Ltd. (Kathmandu, Nepal) [2209.99 km]
10651) Cherry World Communication Pvt Ltd (Kathmandu, Nepal) [2209.99 km]
 4520) Ncell Private Ltd. (Jawalakhel, Nepal) [2209.99 km]
 6932) Subisu CableNet Pvt. Ltd. (Kathmandu, Nepal) [2209.99 km]
 4757) Vianet Communication Pvt Ltd (Jawalakhel, Nepal) [2209.99 km]
18186) Velocity Networks (Khammam, India) [2210.17 km]
 7415) Smart Communications Inc. (Manila, Philippines) [2216.49 km]
 3757) Globe Telecom (Mandaluyong, Philippines) [2216.49 km]
 7167) PLDT (Manila, Philippines) [2216.49 km]
 1002) SkyBroadband (Manila, Philippines) [2216.49 km]
 8046) SkyBroadband (Mandaluyong, Philippines) [2216.49 km]
10371) Cablelink Intrernet Services Inc (Parañaque, Philippines) [2218.60 km]
 7131) PLDT (Quezon City, Philippines) [2219.72 km]
 9398) Globe Telecom (Quezon City, Philippines) [2219.72 km]
  262) BayanTel (Quezon City, Philippines) [2219.72 km]
 7205) PLDT (Makati, Philippines) [2219.73 km]
 1238) Eastern Communications (Makati, Philippines) [2219.73 km]
 4229) Philippine Global Communications, Inc. (Makati, Philippines) [2219.73 km]
10685) SkyBroadband (Makati, Philippines) [2219.73 km]
 7521) Smart Communications Inc. (Makati, Philippines) [2219.73 km]
12210) RISE.ph (Makati, Philippines) [2219.73 km]
 6383) Philippine Telegram and Telephone Corp (Makati, Philippines) [2219.73 km]
 7805) NexLogic Telecommunications Network Inc. (Makati, Philippines) [2219.73 km]
 1169) Globe Telecom (Makati, Philippines) [2219.73 km]
11341) ClearPath Networks (San Juan, Philippines) [2220.46 km]
12505) Aspire Broadband Pvt Ltd (Singrauli, India) [2222.93 km]
18416) IntegraNet (Batangas City, Phillipines) [2224.69 km]
